class,month,sd,mean,lower,upper,lower_q,upper_q,sum_point,sum_lower,sum_upper,sum_lower_q,sum_upper_q,trend,trend_low,trend_high,trend_low_q,trend_high_q
Barren,Apr,23673.88609001935,95106.14116309035,48706.17705254867,141506.105273632,50876.57299944404,142437.171978002,6585676.5059218565,3099573.7831315203,10071779.228712194,3076634.2650492955,10031088.959818974,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Aug,34872.85269502426,150540.13495989246,82190.59963947436,218889.67028031056,84699.19354023317,218791.3525380116,10238654.10862045,4988183.620262949,15489124.596977955,5040992.322713002,15460627.57090869,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Dec,30122.29271851137,126355.39806886614,67316.78920881075,185394.00692892153,69730.78024306677,185955.4608975389,8624950.431301504,4142081.425170674,13107819.437432332,4182184.0810119784,13076522.560608072,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Feb,32075.36616124075,136192.96393296894,73326.40146600231,199059.52639993557,75447.27175850219,199084.4620500592,9305150.180099864,4497053.319960042,14113247.040239688,4548878.417789296,14092165.27517839,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Jan,32028.77159144652,135958.09614783054,73182.85735953574,198733.33493612532,75298.14916942452,198759.89443232876,9335055.901653986,4512081.897449157,14158029.905858817,4564828.441230254,14136679.010785317,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Jul,35724.48630947897,154984.15398138683,84965.44744861384,225002.86051415984,87601.2106659791,225176.0179786686,10455750.241305798,5105343.595110757,15806156.887500841,5154034.672636566,15780600.69438172,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Jun,29719.88492836823,124350.9387873283,66101.03470305182,182600.84287160478,68603.0730226464,183295.214472389,8453844.680323876,4054573.3750716955,12853115.985576058,4091050.355723415,12819194.53737505,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Mar,27990.43074220846,115798.6799681983,60938.44380170699,170658.91613468959,63600.92639313233,171629.7668268379,7812990.5887304405,3724562.6869468074,11901418.490514075,3737490.2277483037,11868538.151331898,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,May,23403.169804466077,93837.70570048847,47968.33575965967,139707.07564131726,50110.590099035646,140610.0350871098,6466798.402062309,3040871.7017773995,9892725.10234722,3014016.627207793,9850505.057106527,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Nov,25768.83253074412,105044.56791568175,54538.584231779154,155550.55159958435,56582.32558093729,156198.66884483924,7272717.318282139,3447030.803264068,11098403.833300209,3443541.338197253,11066896.586851967,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Oct,21704.022777496448,85964.11762395121,43425.01466042119,128503.22058748124,45395.37892700999,129416.82913995223,5971481.854047146,2792181.1739022885,9150782.534192001,2766185.8912604535,9114058.410326952,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Barren,Sep,28223.05155679942,116940.02256151685,61623.85797637289,172256.1871466608,64315.06084352863,173225.44579135155,8069727.397793725,3853814.3335178844,12285640.462069565,3879306.8174796505,12249902.945852611,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Apr,891776.123238295,3147785.1847065133,1399936.1008867028,4895634.268526324,1411005.3046207577,4837212.958865345,6585676.5059218565,3099573.7831315203,10071779.228712194,3076634.2650492955,10031088.959818974,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Aug,1354761.1848361332,4870436.608128753,2215153.478197121,7525719.738060384,2318743.521387873,7470569.349918055,10238654.10862045,4988183.620262949,15489124.596977955,5040992.322713002,15460627.57090869,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Dec,1151778.1501882377,4108813.536501386,1851369.8439522758,6366257.229050497,1934957.423124671,6311693.636567083,8624950.431301504,4142081.425170674,13107819.437432332,4182184.0810119784,13076522.560608072,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Feb,1235934.279620675,4423445.314283472,2001058.6389684929,6845831.98959845,2099820.639849712,6800125.19097452,9305150.180099864,4497053.319960042,14113247.040239688,4548878.417789296,14092165.27517839,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Jan,1241398.968746015,4443900.325440799,2010803.0562534458,6876997.5946281515,2110577.200221217,6830954.706607939,9335055.901653986,4512081.897449157,14158029.905858817,4564828.441230254,14136679.010785317,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Jul,1376237.1148667661,4951551.9797917195,2254176.800465545,7648927.159117894,2354627.7844430306,7595870.671160387,10455750.241305798,5105343.595110757,15806156.887500841,5154034.672636566,15780600.69438172,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Jun,1126266.0742230362,4013741.7846098263,1806300.8421233604,6221182.727096292,1885543.7894563482,6164227.494074552,8453844.680323876,4054573.3750716955,12853115.985576058,4091050.355723415,12819194.53737505,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
Cropland,Mar,1043771.855964026,3707430.986611399,1661675.7408453797,5753186.232377418,1714293.1874728196,5699049.7274209475,7812990.5887304405,3724562.6869468074,11901418.490514075,3737490.2277483037,11868538.151331898,8216066.467511925,3938112.6429637703,12494020.292060079,3958261.954837272,12462231.646710513
