GHG,Landcover,Sealed_status,sd,min,max,mean,lower,upper,source
CH4,Barren,fromsealing,18105250.741413582,-77730000,41037000,-24744955.609999992,-60230594.99423771,10740683.77423773,other
CH4,Barren,sealed,4201584268.304555,-18037210000,9523133000,-5742417350.019999,-13977371193.907,2492536493.8670025,other
CH4,Barren,unsealed,4219689518.9715486,-18114940000,9564170000,-5767162305.63,-14037601788.755379,2503277177.4953785,other
CH4,Cropland,fromsealing,332934844.8363409,-1080090000,873990000,-178397916.95599997,-830938222.0336592,474142388.1216593,other
CH4,Cropland,sealed,5811833143.45364,-18854490000,15256560000,-3114179527.0652,-14505163172.390541,8276804118.26014,other
CH4,Cropland,unsealed,6144767988.286361,-19934580000,16130550000,-3292577444.0212,-15336101394.417105,8750946506.374704,other
CH4,Forestland,fromsealing,2376903.4485901864,-205876000,-190673000,-198553422,-203212067.15396583,-193894776.84603417,other
CH4,Forestland,sealed,113702532.38819571,-9848244000,-9121211000,-9498160528,-9721013396.431862,-9275307659.568138,other
CH4,Forestland,unsealed,116079435.79903781,-10054120000,-9311884000,-9696713950,-9924225463.511843,-9469202436.488157,other
CH4,Grassland,fromsealing,664022155.493852,-2867950000,2084250000,-1009216309.8879997,-2310675819.592605,292243199.8166057,other
CH4,Grassland,sealed,13829009534.087921,-59728280000,43406820000,-21018066282.367996,-48122426911.04135,6086294346.305355,other
CH4,Grassland,unsealed,14493031689.571917,-62596230000,45491070000,-22027282592.255997,-50433102730.61464,6378537546.102642,other
CH4,Wetland,fromsealing,2143014.528945446,69830000,82680000,75661800,71461568.70492086,79862031.29507914,other
CH4,Wetland,sealed,1160550422.5305965,37816740000,44779190000,40974828330,38700191299.59729,43249465360.40271,other
CH4,Wetland,unsealed,1162693432.9885929,37886570000,44861870000,41050490130,38771652876.28112,43329327383.71888,other
CO2,Barren,fromsealing,82704873445.9634,-1497200000,496000000000,277932086800,115833513499.96872,440030660100.03125,other
CO2,Barren,sealed,19192871667030.676,-347468900000,115112300000000,64498149976100,26880812748820.656,102115487203379.34,other
CO2,Barren,unsealed,19275576540083.863,-348966100000,115608300000000,64776082062900,26996646263090.453,102555517862709.55,other
CO2,Cropland,fromsealing,7241286857357.114,5162190000000,46168300000000,25317501470000,11124840027856.828,39510162912143.17,other
CO2,Cropland,sealed,126406535552407.31,90113230000000,805930200000000,441951600750000,194199343656799.8,689703857843200.25,other
CO2,Cropland,unsealed,133647822409650.1,95275420000000,852098500000000,467269102220000,205324183684880.72,729214020755119.25,other
CO2,Forestland,fromsealing,219858152134.3647,445830000000,1764680000000,1128508650000,697594590109.1173,1559422709890.8828,other
CO2,Forestland,sealed,10517310476605.541,21326850000000,84416560000000,53984240710000,33370690961627.355,74597790458372.64,other
CO2,Forestland,unsealed,10737168628699.129,21772680000000,86181240000000,55112749360000,34068285551816.39,76157213168183.61,other
CO2,Grassland,fromsealing,7237029282905.397,-928380000000,44522100000000,24686458820000,10502142070443.69,38870775569556.31,other
CO2,Grassland,sealed,150719275878909.84,-19334550000000,927221200000000,514123227150000,218718874651380.25,809527579648619.75,other
CO2,Grassland,unsealed,157956305161698.38,-20262930000000,971743300000000,538809685970000,229221016722053,848398355217947,other
CO2,Wetland,fromsealing,65897331224.58314,65970000000,461100000000,261120490000,131964094122.51035,390276885877.4896,other
CO2,Wetland,sealed,35686727992376.836,35726440000000,249681100000000,141410436920000,71465735328864.03,211355138511135.97,other
CO2,Wetland,unsealed,35752625312335.6,35792410000000,250142200000000,141671557410000,71597699445067.125,211745415374932.88,other
N2O,Barren,fromsealing,45371806.111303344,65760000,325890000,200256090,111328984.10831115,289183195.8916888,other
N2O,Barren,sealed,10529199451.211382,15261750000,75626280000,46472281000,25835429289.586796,67109132710.41321,other
N2O,Barren,unsealed,10574571257.140146,15327510000,75952170000,46672537090,25946758274.052876,67398315905.94713,other
N2O,Cropland,fromsealing,2059007094.3231385,-4601330000,10574900000,3537807854.3900003,-497771894.3958163,7573387603.1758175,other
N2O,Cropland,sealed,35942782919.58449,-80322470000,184599700000,61757267486.81,-8689292539.716995,132203827513.33699,other
N2O,Cropland,unsealed,38001790013.84821,-84923800000,195174600000,65295075341.2,-9187064433.996368,139777215116.39636,other
N2O,Forestland,fromsealing,67308077.97617097,-166989000,264590000,63792508.895,-68128899.8069087,195713917.5969087,other
N2O,Forestland,sealed,3219799151.3550863,-7988230000,12657180000,3051627931.6870003,-3259062442.4215975,9362318305.795597,other
N2O,Forestland,unsealed,3287107229.3292923,-8155219000,12921770000,3115420440.5819993,-3327191342.2246566,9558032223.388655,other
N2O,Grassland,fromsealing,567178991.0404282,5157200000,9307400000,7718403200,6606752804.772995,8830053595.227005,other
N2O,Grassland,sealed,11812167170.320328,107404800000,193836600000,160744407500,137592985266.80576,183895829733.19424,other
N2O,Grassland,unsealed,12379346159.824446,112562000000,203144000000,168462810700,144199738074.58987,192725883325.41013,other
N2O,Wetland,fromsealing,656246.9028479278,19940000,24250000,22173250,20887029.705452107,23459470.294547893,other
N2O,Wetland,sealed,355441451.9665844,10795840000,13133510000,12008002750,11311350305.532871,12704655194.467129,other
N2O,Wetland,unsealed,356097686.3893559,10815780000,13157760000,12030176000,11332237359.698824,12728114640.301176,other
